State,Total Renewable (%),Total Non-Renewable (%),energy_consumption (trillion btu),consumption_per_capita (btu),co2_emission (million metric tons),Total Energy Price per Million Btu,Total Energy Expenditure Million Dollars,Energy Expenditure per Capita Dollars,Energy Expenditures as Percent of GDP Percent,Average Retail Price of Electricity to Residential Sector(cents/kWh),Gasoline Prices Dollars per Million Btu,Gasoline Expenditures Million Dollars,Gasoline Expenditures per Capita Dollars,Petroleum Prices Dollars per Million Btu,Petroleum Expenditures Million Dollars,Natural Gas Prices Dollars per Million Btu,Natural Gas Expenditures Million Dollars,Coal trillion btu,Natural Gas trillion btu,Crude Oil trillion btu,Nuclear Electric Power trillion btu,Biofuels trillion btu,Wood and Waste trillion btu,Other trillion btu, total e,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,PEOPCOLOR,LOWINCOME,UNEMPLOYED,LESSHS,UNDER5,OVER64,RSEI_AIR,PRE1960,PNPL,PRMP,PTSDF,UST,PWDIS,D2_RSEI_AIR,D5_RSEI_AIR,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,PM25,OZONE,DSLPM,CANCER,RESP,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,DEMOGIDX_2,DEMOGIDX_5,PRE1960PCT
alabama,11.3,88.6,1965.2,389.2,108.4,17.84,24224,4797,9.53,14.63,22.28,8582,1700,21.88,13087,5.23,3620,238.0,115.1,24.4,480.9,1.6,172.8,106.6,1139.5,4997675.0,4876863.0,3413803.0,1902983.0,2278526.0,2298013.0,1756672.0,1713502.0,124416.0,430047.0,295632.0,844427.0,30800300.47010332,379082.0,69.45732324869057,424.34543720097867,608.7634433566429,2628.824500433024,453.67295919088656,33483.45749117092,14096.01176154391,131175477769.0,4591897964.0,13.0,225.0,4081.0,4898.0,9.154195261152212,60.71487235888502,0.1867306169177127,33.56345885634589,0.4354253835425383,28.726596330363847,11.95257359515428,16.61557195090112,6.948885486446949,16.154168438137788,6.228546258596382,25.902680247860125,10.702001895557412,29.88697501506124,12.361238262409882,53.76896311760613,60.01600556715379,48.19345859429367,61.390396659707726,49.366040361865,22.50034794711204,59.02435629784273,50.35629784272791,54.27905358385525,73.49128919860627,43.7993031358885,37.94072524407253,66.08995815899581,75.5397489539749,32.62421711899791,41.40918580375783,31.78009742519137,43.49756097560976,48.37866108786611,68.58885017421603,74.58188153310104,50.84529616724738,52.90592334494774,44.73625608907446,45.35421016005567,75.01809324982602,80.13848295059151,75.5205288796103,81.46555323590815,0.3526979952015237,0.1538295451057581,0.166371592863105
alaska,30.4,69.6,684.2,931.9,38.9,20.42,6395,8711,11.15,24.72,34.62,1108,1509,19.65,4769,8.66,606,15.8,391.9,908.3,0.0,0.0,7.6,16.4,1340.0,735951.0,719086.0,484382.0,260561.0,324434.0,363718.0,301436.0,179091.0,25054.0,32669.0,50791.0,90188.0,12271.40194370196,24819.0,13.13684589693336,60.3329769629135,30.40576709179625,444.61250497004926,0.0,778.770670279527,289.17257056596475,1478942847588.0,245378425142.0,6.0,19.0,172.0,141.0,,,0.1905735771562712,23.07909604519774,0.3015254237288135,,,,,11.31272751799435,3.989112841661017,10.2786750560113,3.581065387502825,11.582502377457626,4.098629166361582,48.99435028248588,40.59322033898305,53.81920903954802,41.87570621468927,58.76836158192091,37.31638418079096,37.03389830508475,57.63841807909605,37.84180790960452,,,33.73446327683616,29.75706214689265,34.32203389830509,36.69491525423729,36.8361581920904,18.15254237288136,38.163841807909606,,,,,,31.54802259887005,29.57062146892656,34.49717514124294,32.87005649717514,37.271186440677965,35.6045197740113,0.3298043162318276,0.1189404726171044,0.0764993804595077
arizona,13.3,86.69999999999999,1563.1,215.2,83.0,25.06,25549,3517,6.08,14.28,27.85,9815,1351,24.77,15748,6.03,2819,0.0,0.2,,330.4,0.0,9.1,159.9,499.7,7079203.0,6926281.0,4792007.0,2683557.0,3056890.0,3401906.0,3297538.0,2196845.0,191115.0,560460.0,412606.0,1243859.0,5219841.732735511,242728.0,137.7361336898428,650.9842083876557,1254.0326696688535,2870.0461924914925,9881.08850958755,31658.21057862032,11638.706675417154,294363973043.0,855871553.0,9.0,161.0,4518.0,4425.0,5.854204158391866,65.98848018838527,0.2722011738260375,25.27515633882888,0.3113189312109153,5.206377171461789,1.8753883319384537,27.92828052020452,10.50693640336565,21.92568638964476,8.035222302956374,12.566964785013033,4.570776489437961,16.664578404111616,6.059372650984137,54.3671388101983,49.10651558073654,56.02492917847025,51.51274787535411,50.411331444759206,47.455524079320114,48.63172804532578,48.01869688385269,47.79773371104816,11.492351274787536,74.8158640226629,54.314951677089255,32.681068789084705,41.04036384309266,45.66968838526912,43.38186968838527,37.82946175637394,40.51671388101983,68.66355685131195,20.01869688385269,16.392634560906515,68.94957507082152,68.50028328611899,52.8356940509915,51.04475920679887,51.624362606232296,49.47762039660056,52.88045325779037,51.06458923512748,0.3923005019622314,0.1450002844995661,0.0794035768378972
arkansas,9.8,90.3,1079.1,356.4,62.0,18.43,13616,4496,9.16,12.44,22.55,4104,1355,21.94,7384,7.94,2755,0.0,457.5,24.0,141.6,6.1,64.3,42.1,735.5,3006309.0,2923735.0,2021290.0,1158460.0,1361880.0,1384596.0,882594.0,1121375.0,73733.0,248721.0,184580.0,505361.0,9022463.922051502,197719.0,30.97018614745871,340.17758019468823,440.7456178885675,851.6735294414162,55626.58136611521,13637.617183924722,6183.836667565675,134660767709.0,3121950081.0,9.0,178.0,1477.0,2061.0,8.97855879701726,57.33805718104496,0.169305488238153,29.781287970838395,0.3670716889428919,24.99870531200313,11.363348060025658,7.408797956791401,3.4457365769371595,13.526843614134872,5.737839190199271,18.133441978731472,8.219144882582016,19.88284205734629,9.048803709308627,51.68529769137302,62.172539489671934,41.03280680437424,65.81652490887,49.59781287970839,24.87484811664641,58.82017010935601,51.91616038882138,54.05346294046173,69.50182260024302,20.424058323207777,34.32077764277035,49.556500607533415,55.1093560145808,22.81409477521264,43.58323207776428,34.377885783718106,35.25030376670717,45.0632603406326,65.91130012150668,73.86755771567437,30.0,29.449574726609963,41.58566221142163,43.74726609963548,66.49939246658566,72.56622114216282,65.91737545565006,72.84811664641555,0.3400159850959676,0.1595854241036979,0.1451809263664931
california,42.3,57.5,7387.9,188.7,324.0,28.43,150204,3837,4.45,31.22,32.46,52382,1338,28.12,85813,9.86,19426,0.0,160.8,765.9,172.1,36.7,149.9,867.0,2152.5,39455353.0,38701352.0,26797070.0,13217586.0,14328539.0,19980462.0,25346056.0,11040032.0,1303741.0,4236035.0,2350335.0,5669879.0,7082566.868202869,3980890.0,1549.0067869409097,5316.055090458267,54446.11725376055,13145.260035687956,36612.49059630463,168647.467376615,56392.82072853536,403671756816.0,20293573058.0,97.0,3728.0,41967.0,34654.0,8.65179498663211,66.08127722481343,0.2613361624143391,26.65339784473279,0.3415218825599296,28.936336757455155,9.837496540054522,29.43531026140011,10.207918485266248,26.48394734700263,8.956875804496002,18.490029068612444,6.4237362804509806,22.65633949187753,7.777368246980502,64.80151166611896,52.9766677620769,70.87216562602694,46.1889582648702,57.59634132982802,68.94413407821229,57.55668747946106,50.72406616277796,42.46160587139884,58.4965978928885,61.62862159789289,53.53815702661095,36.838464921926544,46.01957334506268,57.31043925950269,56.67871617920911,79.61945448570489,22.37510974539069,58.99849936511601,62.6267559262511,56.202260755048286,63.399253731343286,58.72322212467076,61.448570489648375,55.82199583744112,61.45590973819696,55.99627560521415,64.08084127505751,59.34078212290503,0.4641897806480625,0.1564621792255774,0.2778294423457964
colorado,32.8,67.1,1509.2,259.7,85.4,20.61,20474,3523,4.69,14.67,26.55,7241,1246,23.99,11983,7.74,3259,247.9,2300.9,873.0,0.0,19.2,15.3,173.6,3629.8,5723176.0,5605422.0,3937040.0,2227932.0,2454873.0,3120868.0,1901348.0,1323253.0,145038.0,300620.0,324246.0,819254.0,4559558.64512693,421648.0,146.12182835496364,489.486771729389,806.7174424358894,3710.221385959134,910369.2907744712,20156.480327417616,7787.990095799608,268418796417.0,1185716938.0,21.0,116.0,1946.0,1981.0,6.3977442655849135,64.77182357118176,0.2569240594833333,20.415972222222223,0.2410138888888889,7.1468310705713245,2.688956081972174,19.32066147377009,7.666594415781533,14.7544471345736,5.681374483187975,6.430968518180373,2.474729239093988,7.23861373242018,2.784840365281963,40.15065653075328,36.0511402902557,44.67035245335176,39.30269523151348,43.50172771250864,38.89633724948169,35.17138908085695,45.84174153420871,43.92467173462336,23.03109882515549,70.63303386316517,48.4625,19.47986111111112,22.941666666666663,47.11817553559088,49.43123704215618,36.01036627505183,48.85694540428473,59.46629603891592,24.78714581893573,22.10711817553559,57.90601243953006,57.665514858327576,42.18106427090533,41.31237042156185,32.49067035245335,30.131997235659988,32.840359364201795,30.840359364201795,0.2849288926739246,0.1120442781502105,0.1717595981543646
connecticut,4.6,95.4,704.4,194.4,36.6,25.85,13730,3789,4.6,31.8,25.12,4094,1130,23.5,7061,7.85,2354,0.0,0.0,0.0,179.8,3.0,23.4,15.3,221.6,3605330.0,3503694.0,2515137.0,1397324.0,1527039.0,1940626.0,1264482.0,789397.0,117631.0,225021.0,182122.0,620179.0,3174775.634888798,648488.0,115.07215479177488,247.86838101677773,2894.3158545968404,4393.421322961981,273.1860474642982,17994.473417458703,7440.523091726572,12541690473.0,1816424193.0,13.0,414.0,1911.0,1939.0,7.286318300837573,69.74350785142857,0.1868921907981651,20.837155963302752,0.2397935779816513,9.197341576843382,3.7313906773010057,26.65582551479629,11.04623924041465,13.801450563585504,5.493828188710079,3.134939436899207,1.2466582446466592,5.712683729165345,2.200009810292185,39.57191392978483,38.90939977349943,46.599093997735,36.46772366930917,54.13250283125708,54.81993204983012,42.319365798414495,42.35220838052095,53.43488108720272,28.88114285714286,87.66057142857143,40.11697247706422,9.70183486238532,15.160550458715596,61.86296715741789,43.33748584371461,72.19818799547,58.86575654152446,48.65981735159817,33.57828571428571,31.718857142857143,64.19657142857143,69.06171428571429,41.64892412231031,41.15175537938845,28.65458663646659,27.006795016987542,30.178935447338617,28.725934314835783,0.2894793460138221,0.1214817380845561,0.4246702278068859
delaware,6.9,93.1,295.5,294.1,13.0,21.48,3888,3869,4.79,16.0,24.95,1463,1456,23.03,2160,8.63,638,0.0,0.0,0.0,0.0,0.0,1.4,2.2,3.7,981892.0,955602.0,690618.0,381097.0,445104.0,492450.0,384852.0,245682.0,27993.0,61788.0,54234.0,186375.0,1249417.8071352197,100173.0,88.01597146182795,82.39441576559246,350.8431814083127,557.5646372836102,28.21392400378805,4660.021069981881,1682.7974074700453,5046731559.0,1399179670.0,18.0,57.0,503.0,448.0,7.671391158830063,63.55357776061776,0.2190250812596899,25.07751937984496,0.2604651162790697,12.003670795378012,4.528945078089831,21.15372458437226,7.915613884990446,16.401271665480916,5.968885947446565,10.235228034709923,3.627218945251909,7.000940423694657,2.475031376389313,45.09160305343512,42.39312977099237,48.63358778625954,41.958015267175576,49.10687022900763,39.38167938931298,42.12595419847328,44.47709923664122,57.96183206106871,36.447876447876446,63.810810810810814,47.66279069767442,28.368217054263567,20.32558139534884,75.10687022900764,51.05343511450382,50.408396946564885,46.81153846153846,53.809338521400775,41.88803088803089,38.40926640926641,58.270270270270274,58.72586872586873,48.12213740458015,46.62977099236641,47.22900763358778,45.81679389312977,38.57251908396947,35.64885496183206,0.326293850241857,0.1259743118944534,0.2250552679823139
district of columbia,37.4,62.5,150.7,225.3,2.5,25.68,2086,3118,1.36,16.54,26.24,324,484,23.54,435,13.08,358,0.0,0.0,0.0,0.0,0.0,0.9,1.5,2.4,683154.0,651618.0,487726.0,310104.0,344306.0,402460.0,432758.0,170893.0,28493.0,37934.0,42958.0,83199.0,37287.413439627286,192228.0,51.560556854357806,33.57702341148597,3232.715313868697,2511.925229317644,11.250424417790846,2743.463115685041,816.6177220751354,158316124.0,18709762.0,1.0,77.0,1127.0,784.0,8.2600157148557,64.80355572815535,0.4776678617427184,35.77669902912621,0.4359223300970873,22.51187100168521,6.7232963869638604,32.1807525022037,9.595475061196902,38.54883755714563,11.527646414281554,31.00716318336893,9.35816049934466,33.216077999189324,9.943220098131068,60.90776699029127,43.18932038834952,70.54368932038835,40.90291262135922,54.53398058252427,45.237864077669904,36.99514563106796,51.62621359223301,32.62621359223301,51.16504854368932,73.4126213592233,88.69417475728156,75.68446601941747,77.2621359223301,81.57766990291262,39.470873786407765,94.00970873786407,82.96116504854369,45.99029126213592,63.567961165048544,51.83009708737864,74.30582524271844,65.63106796116504,78.20873786407768,72.02427184466019,82.83009708737865,77.04854368932038,81.04368932038835,75.26699029126213,0.4506368419870038,0.1334466371327329,0.5583056931915211
florida,6.6,93.4,4313.2,197.6,226.3,22.52,66763,3059,5.32,15.36,22.89,24663,1130,21.16,38753,5.69,8959,0.0,1.2,8.5,293.1,0.0,152.5,135.2,590.4,21339762.0,20928219.0,15349290.0,8157420.0,9764897.0,10377036.0,10122575.0,6753631.0,552125.0,1682505.0,1118794.0,4346965.0,10534893.066493172,1063776.0,642.278455077895,1574.4015677982272,2716.434645575925,34607.77177793399,1999.3695601683364,97797.23578848396,35557.827772193814,138961722096.0,45972570361.0,53.0,361.0,12260.0,11688.0,7.516173456349153,59.3588705314269,0.2907018842868354,24.645870119678243,0.3150088287227781,13.077798418532137,5.012816534529515,13.029995608500611,5.204199226281419,25.06232589319321,9.224438680187596,11.305039994312985,4.263301870249031,15.648542673590116,5.9097202207160855,54.58468992248062,52.4453488372093,54.542054263565895,52.62713178294574,46.59108527131783,55.65717054263566,49.14108527131783,41.80484496124031,58.69825581395349,32.948858090962325,35.696271715791525,59.24484991171277,27.34549735138317,37.75985874043555,51.05058139534884,44.21220930232558,35.29437984496124,61.47276986140933,44.36269549218032,44.97189146984189,41.23423775131759,43.318758539918015,40.820027327737655,59.68352713178295,59.732751937984496,50.9,49.65775193798449,56.41356589147287,55.675,0.3991997102682987,0.1499374446256816,0.1089387834812797
